Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);A01 - Broken Access Control;A04 - Insecure Design;A06 - Vulnerable and Outdated Components;A07 - Identification and Authentication Failures;A09 - Security Logging and Monitoring Failures;A10 - Server-Side Request Forgery;CSV Injection;CRLF Injection;Unrestricted File Upload;X-Powered-By Exposure;Iframe Kullanımı;Mixed Content Risk;Deprecated HTML Elements;Referrer Policy Mevcut mu?;Gzip Compression Aktif mi?;robots.txt Var mı?;sitemap.xml Var mı?;Doctype Var mı?;Title Tag Var mı?;Secure/HttpOnly Cookie Flag Eksik?;HSTS Süresi Yetersiz mi?;CORS Açıklığı Var mı?;Yanıt Süresi (ms);Mobil Uyumlu mu?;Başlık Boş mu?;Tüm IMG'lerde Lazy Load Var mı?;Formda Password Input Var mı?;Toplam HTML Tag Sayısı;Tracking Script Var mı?;HTTPS Yönlendirme Var mı?;Sıkı CSP Var mı?;OG Tag Var mı?;Structured Data Var mı?;SSL Sertifikası Geçerli mi?;H1 Etiket Sayısı;Inline Script Kullanımı;Meta Robots İçeriği;Başlık Uzunluğu (karakter);Tüm IMG'lerde loading/width/height var mı?
ARDAHAN ÜNİVERSİTESİ;http://www.ardahan.edu.tr;True;True;2025-03-19 00:00:00;2026-04-19 23:59:59;False;False;False;False;False;False;True;True;0;True;False;True;True;True;Kapsam Dışı;False;False;False;True;True;True;True;False;True;True;True;True;True;True;True;False;4990;False;False;True;False;1388;False;True;False;False;False;True;0;True;;20;False
ARTVİN ÇORUH ÜNİVERSİTESİ;http://www.artvin.edu.tr;True;True;2025-05-06 20:39:31;2025-08-04 21:35:21;True;False;True;True;True;False;False;True;4;True;True;False;True;True;Kapsam Dışı;False;False;False;False;False;True;False;True;True;True;True;True;True;False;True;True;1324;True;False;True;False;847;False;True;False;True;False;True;0;True;index, follow, noodp, noydir;25;False
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU;http://www.adiguzel.edu.tr/;True;True;2025-04-14 00:00:00;2026-04-14 23:59:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı;False;False;False;True;False;True;False;False;True;True;True;True;True;True;True;False;468;True;False;True;True;1479;False;True;False;True;True;True;0;True;max-image-preview:large;36;False
ATATÜRK ÜNİVERSİTESİ;http://www.atauni.edu.tr;True;True;2025-05-07 14:18:56;2025-08-05 14:18:55;True;True;True;True;False;False;False;False;4;True;False;False;False;True;Kapsam Dışı;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;-1;False;True;False;False;0;False;False;False;False;False;False;0;False;;0;False
ATILIM ÜNİVERSİTESİ;www.atilim.edu.tr;True;True;2024-10-09 09:50:09;2025-11-10 09:50:08;True;True;True;True;True;False;False;False;5;True;True;False;True;True;Kapsam Dışı;False;False;False;False;True;True;False;True;False;True;False;True;True;False;True;False;95;True;False;True;False;1660;False;True;True;True;True;True;1;True;;19;False
AVRASYA ÜNİVERSİTESİ;www.avrasya.edu.tr;True;True;2025-01-31 00:00:00;2026-01-01 23:59:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı;False;False;False;True;False;True;False;False;True;True;True;True;True;True;True;False;530;False;False;True;False;1323;False;True;False;False;False;True;0;True;max-image-preview:large;74;False
AYDIN ADNAN MENDERES ÜNİVERSİTESİ;http://www.adu.edu.tr;True;True;2025-01-03 00:00:00;2026-02-03 23:59:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı;False;False;False;True;False;True;False;False;False;True;True;True;True;True;True;False;660;True;False;True;False;1096;False;True;False;False;False;True;0;True;;33;False
BAHÇEŞEHİR ÜNİVERSİTESİ;http://www.bahcesehir.edu.tr;True;True;2024-12-24 14:09:25;2026-01-25 14:09:24;True;False;True;True;False;False;False;True;3;True;True;False;True;True;Kapsam Dışı;False;False;False;False;False;True;False;False;True;True;True;True;True;True;True;False;1534;True;False;True;False;935;True;True;False;True;False;True;0;True;index, follow;29;False
BALIKESİR ÜNİVERSİTESİ;http://www.balikesir.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;-1;False;True;False;False;0;False;False;False;False;False;False;0;False;;0;False
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ;http://www.bandirma.edu.tr;True;True;2024-11-25 00:00:00;2025-11-25 23:59:59;False;False;True;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı;False;False;False;True;False;True;False;False;True;False;False;True;True;False;True;False;1251;True;False;True;False;1676;False;True;False;True;False;True;0;True;;46;False
BARTIN ÜNİVERSİTESİ;http://www.bartin.edu.tr/;True;True;2024-09-05 00:00:00;2025-10-06 23:59:59;False;False;True;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;2949;False;False;True;False;1059;False;True;False;False;True;True;1;True;;19;False
BAŞKENT ÜNİVERSİTESİ;http://www.baskent.edu.tr;True;True;2025-03-26 00:00:00;2026-04-03 23:59:59;False;False;True;True;True;False;False;True;3;True;False;False;False;True;Kapsam Dışı;False;False;False;False;False;True;False;True;True;False;False;True;True;True;True;False;1239;False;False;True;False;996;False;True;False;False;False;True;8;True;;20;False
BATMAN ÜNİVERSİTESİ;http://www.batman.edu.tr;True;True;2025-01-06 00:00:00;2025-12-03 23:59:59;True;False;False;False;True;False;True;True;2;True;True;False;True;True;Kapsam Dışı;False;False;False;False;True;True;True;True;False;True;True;True;True;True;True;False;866;True;False;True;False;1928;False;True;False;False;False;True;0;True;;19;False
BAYBURT ÜNİVERSİTESİ;https://bayburt.edu.tr;True;True;2024-07-18 00:00:00;2025-07-26 23:59:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı;False;False;False;True;True;True;False;False;False;True;True;True;True;False;True;False;1833;True;False;True;False;1242;False;True;False;True;False;True;1;True;;20;False
BEYKOZ ÜNİVERSİTESİ;www.beykoz.edu.tr;True;True;2024-08-05 00:00:00;2025-08-05 23:59:59;True;False;True;True;False;False;False;True;3;True;False;False;True;True;Kapsam Dışı;False;False;False;False;True;True;False;False;True;True;True;True;True;True;True;False;672;True;False;True;False;753;False;True;False;True;False;True;1;True;index,follow;19;False
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ;http://www.bezmialem.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;-1;False;True;False;False;0;False;False;False;False;False;False;0;False;;0;False
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ;http://www.bilecik.edu.tr/;True;True;2024-05-30 13:47:04;2025-05-30 13:47:04;True;False;False;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı;False;False;False;False;True;True;False;False;True;True;True;True;True;True;True;False;979;True;False;True;False;1455;False;True;False;False;False;True;0;True;;33;False
BİNGÖL ÜNİVERSİTESİ;http://www.bingol.edu.tr;True;True;2024-12-03 00:00:00;2025-12-03 23:59:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı;False;False;False;True;True;True;False;False;False;False;False;True;True;True;True;False;182;False;False;True;False;923;False;True;False;True;False;True;1;True;;19;False
