Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);CSV Injection
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ;http://www.bilkent.edu.tr/;True;True;31.07.2024 00:00;13.08.2025 23:59;False;False;False;False;False;False;True;True;0;False
İNÖNÜ ÜNİVERSİTESİ;http://www.inonu.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;True
İSKENDERUN TEKNİK ÜNİVERSİTESİ;www.iste.edu.tr;True;True;16.01.2025 00:00;8.01.2026 23:59;False;False;True;True;False;False;False;True;2;False
İSTANBUL AREL ÜNİVERSİTESİ;http://www.arel.edu.tr;True;True;21.05.2024 00:00;27.05.2025 23:59;False;False;False;False;False;False;True;True;0;False
İSTANBUL ATLAS ÜNİVERSİTESİ;www.atlas.edu.tr;True;True;10.06.2024 00:00;9.07.2025 23:59;False;False;False;False;False;False;True;True;0;False
İSTANBUL AYDIN ÜNİVERSİTESİ;http://www.aydin.edu.tr;True;True;13.05.2025 09:43;11.08.2025 10:43;False;False;True;True;True;False;False;True;3;False
İSTANBUL BEYKENT ÜNİVERSİTESİ;www.beykent.edu.tr;True;True;5.01.2025 12:48;5.01.2026 11:49;True;False;True;True;True;False;False;True;4;False
İSTANBUL BİLGİ ÜNİVERSİTESİ;www.bilgi.edu.tr;True;True;26.09.2024 00:00;26.09.2025 23:59;True;True;True;True;True;False;False;False;5;False
İSTANBUL ESENYURT ÜNİVERSİTESİ;http://www.esenyurt.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
İSTANBUL GALATA ÜNİVERSİTESİ;www.galata.edu.tr;True;True;3.03.2025 22:55;1.06.2025 22:55;False;False;False;False;False;False;True;True;0;False
İSTANBUL GEDİK ÜNİVERSİTESİ;www.gedik.edu.tr;True;True;10.05.2025 11:50;8.08.2025 12:49;False;False;False;False;False;False;True;True;0;False
İSTANBUL GELİŞİM ÜNİVERSİTESİ;www.gelisim.edu.tr;True;True;14.01.2025 00:00;25.12.2025 23:59;False;False;True;False;False;False;True;True;1;False
İSTANBUL KENT ÜNİVERSİTESİ;www.kent.edu.tr;True;True;28.06.2024 00:00;27.06.2025 23:59;True;False;False;False;False;False;True;True;1;True
İSTANBUL KÜLTÜR ÜNİVERSİTESİ;www.iku.edu.tr;True;True;8.08.2024 00:00;29.08.2025 23:59;False;False;False;True;False;False;True;True;1;False
İSTANBUL MEDENİYET ÜNİVERSİTESİ;http://www.medeniyet.edu.tr;True;True;18.11.2024 00:00;1.12.2025 23:59;False;False;True;False;False;False;True;True;1;False
İSTANBUL MEDİPOL ÜNİVERSİTESİ;www.medipol.edu.tr;True;True;31.03.2025 10:33;29.06.2025 11:33;False;False;True;True;False;False;False;True;2;False
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ;http://www.nisantasi.edu.tr;True;True;21.04.2025 20:33;20.07.2025 21:31;False;False;True;False;False;False;True;True;1;False
İSTANBUL OKAN ÜNİVERSİTESİ;www.okan.edu.tr;True;True;8.05.2025 07:29;9.06.2026 07:29;False;False;False;False;False;False;True;True;0;False
İSTANBUL RUMELİ ÜNİVERSİTESİ;www.rumeli.edu.tr;True;True;2.05.2025 22:16;31.07.2025 23:16;True;False;True;True;True;False;False;True;4;False
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ;http://www.izu.edu.tr/;True;True;19.12.2024 00:00;18.12.2025 23:59;False;False;False;False;False;False;True;True;0;False
İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU;www.issb.edu.tr;True;True;28.03.2025 23:00;27.06.2025 00:00;False;False;True;True;False;False;False;True;2;False
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ;www.istun.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU;www.sisli.edu.tr;True;True;6.02.2025 00:00;6.02.2026 23:59;False;False;False;False;False;False;True;True;0;False
İSTANBUL TEKNİK ÜNİVERSİTESİ;http://www.itu.edu.tr;True;True;18.07.2024 00:00;18.08.2025 23:59;True;False;True;True;True;False;False;True;4;False
İSTANBUL TİCARET ÜNİVERSİTESİ;http://www.ticaret.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
İSTANBUL TOPKAPI ÜNİVERSİTESİ;www.topkapi.edu.tr;True;True;3.05.2024 07:02;4.06.2025 07:02;False;False;False;False;False;False;True;True;0;False
İSTANBUL ÜNİVERSİTESİ;http://www.istanbul.edu.tr;True;True;10.05.2024 00:00;10.06.2025 23:59;True;False;False;True;False;False;True;True;2;False
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA;https://iuc.edu.tr;True;True;23.01.2025 12:43;23.01.2026 12:43;False;False;True;True;False;False;False;True;2;False
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ;www.yeniyuzyil.edu.tr;True;True;20.12.2024 00:00;19.01.2026 23:59;True;False;False;False;False;False;True;True;1;False
İSTANBUL 29 MAYIS ÜNİVERSİTESİ;http://www.29mayis.edu.tr;True;True;10.03.2025 00:00;26.03.2026 23:59;True;False;True;False;False;False;True;True;2;False
İSTİNYE ÜNİVERSİTESİ;www.istinye.edu.tr;True;True;8.11.2024 00:00;23.09.2025 23:59;False;False;True;True;False;False;False;True;2;False
İZMİR BAKIRÇAY ÜNİVERSİTESİ;bakircay.edu.tr;True;True;2.09.2024 00:00;3.10.2025 23:59;False;False;False;False;False;False;True;True;0;False
İZMİR DEMOKRASİ ÜNİVERSİTESİ;http://www.idu.edu.tr;True;True;21.10.2024 11:38;21.10.2025 11:38;False;False;False;False;False;False;True;True;0;False
