Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);A01 - Broken Access Control;A04 - Insecure Design;A06 - Vulnerable and Outdated Components;A07 - Identification and Authentication Failures;A09 - Security Logging and Monitoring Failures;A10 - Server-Side Request Forgery
ATATÜRK ÜNİVERSİTESİ;http://www.atauni.edu.tr;True;True;7.05.2025 14:18;5.08.2025 14:18;True;True;True;True;False;False;False;False;4;True;False;False;False;True;Kapsam Dışı
ATILIM ÜNİVERSİTESİ;www.atilim.edu.tr;True;True;9.10.2024 09:50;10.11.2025 09:50;True;True;True;True;True;False;False;False;5;True;True;False;True;True;Kapsam Dışı
AVRASYA ÜNİVERSİTESİ;www.avrasya.edu.tr;True;True;31.01.2025 00:00;1.01.2026 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
AYDIN ADNAN MENDERES ÜNİVERSİTESİ;http://www.adu.edu.tr;True;True;3.01.2025 00:00;3.02.2026 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
BAHÇEŞEHİR ÜNİVERSİTESİ;http://www.bahcesehir.edu.tr;True;True;24.12.2024 14:09;25.01.2026 14:09;True;False;True;True;False;False;False;True;3;True;True;False;True;True;Kapsam Dışı
BALIKESİR ÜNİVERSİTESİ;http://www.balikesir.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ;http://www.bandirma.edu.tr;True;True;25.11.2024 00:00;25.11.2025 23:59;False;False;True;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
BARTIN ÜNİVERSİTESİ;http://www.bartin.edu.tr/;True;True;5.09.2024 00:00;6.10.2025 23:59;False;False;True;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
BAŞKENT ÜNİVERSİTESİ;http://www.baskent.edu.tr;True;True;26.03.2025 00:00;3.04.2026 23:59;False;False;True;True;True;False;False;True;3;True;False;False;False;True;Kapsam Dışı
BATMAN ÜNİVERSİTESİ;http://www.batman.edu.tr;True;True;6.01.2025 00:00;3.12.2025 23:59;True;False;False;False;True;False;True;True;2;True;True;False;True;True;Kapsam Dışı
BAYBURT ÜNİVERSİTESİ;https://bayburt.edu.tr;True;True;18.07.2024 00:00;26.07.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
BEYKOZ ÜNİVERSİTESİ;www.beykoz.edu.tr;True;True;5.08.2024 00:00;5.08.2025 23:59;True;False;True;True;False;False;False;True;3;True;False;False;True;True;Kapsam Dışı
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ;http://www.bezmialem.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ;http://www.bilecik.edu.tr/;True;True;30.05.2024 13:47;30.05.2025 13:47;True;False;False;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
BİNGÖL ÜNİVERSİTESİ;http://www.bingol.edu.tr;True;True;3.12.2024 00:00;3.12.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
BİRUNİ ÜNİVERSİTESİ;http://www.biruni.edu.tr/;True;True;4.11.2024 00:00;5.12.2025 23:59;False;False;True;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
BİTLİS EREN ÜNİVERSİTESİ;www.beu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
BOĞAZİÇİ ÜNİVERSİTESİ;https://www.bogazici.edu.tr;True;True;13.08.2024 00:00;13.08.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ;http://www.ibu.edu.tr/;True;True;14.05.2025 00:00;9.03.2026 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ;http://www.mehmetakif.edu.tr;True;True;3.09.2024 00:00;22.08.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
BURSA TEKNİK ÜNİVERSİTESİ;http://btu.edu.tr/;True;True;20.12.2024 11:34;21.01.2026 11:34;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
BURSA ULUDAĞ ÜNİVERSİTESİ;http://www.uludag.edu.tr/;True;True;13.08.2024 00:00;4.09.2025 23:59;True;False;False;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
ÇAĞ ÜNİVERSİTESİ;http://www.cag.edu.tr/;True;True;6.05.2025 23:49;4.08.2025 23:49;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ;www.comu.edu.tr;True;True;30.09.2024 00:00;31.10.2025 23:59;True;False;True;True;True;False;False;True;4;True;True;False;True;True;Kapsam Dışı
ÇANKAYA ÜNİVERSİTESİ;http://www.cankaya.edu.tr/;True;True;7.06.2024 00:00;23.06.2025 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
ÇANKIRI KARATEKİN ÜNİVERSİTESİ;www.karatekin.edu.tr;True;True;15.05.2025 05:01;13.08.2025 05:01;False;False;False;False;False;False;True;True;0;True;False;False;True;True;Kapsam Dışı
ÇUKUROVA ÜNİVERSİTESİ;www.cu.edu.tr;True;True;4.10.2024 14:15;5.11.2025 14:15;True;False;True;True;False;False;False;True;3;True;True;False;True;True;Kapsam Dışı
DEMİROĞLU BİLİM ÜNİVERSİTESİ;http://www.demiroglu.bilim.edu. tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
DİCLE ÜNİVERSİTESİ;www.dicle.edu.tr;True;True;5.05.2025 12:25;5.05.2026 12:25;False;False;False;False;False;False;True;True;0;True;True;False;False;True;Kapsam Dışı
DOĞUŞ ÜNİVERSİTESİ;http://www.dogus.edu.tr;True;True;3.08.2024 08:27;19.08.2025 06:45;True;False;True;True;True;False;False;True;4;True;True;False;True;True;Kapsam Dışı
DOKUZ EYLÜL ÜNİVERSİTESİ;http://www.deu.edu.tr;True;True;17.05.2024 00:00;17.06.2025 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
DÜZCE ÜNİVERSİTESİ;http://www.duzce.edu.tr/;True;True;9.04.2025 00:00;10.05.2026 23:59;False;False;False;False;False;False;True;True;0;True;False;True;False;True;Kapsam Dışı
EGE ÜNİVERSİTESİ;http://www.ege.edu.tr;True;True;31.05.2024 00:00;31.05.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
ERCİYES ÜNİVERSİTESİ;http://www.erciyes.edu.tr;True;True;3.07.2024 00:00;3.08.2025 23:59;False;False;True;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ;http://www.ebyu.edu.tr;True;True;1.10.2024 00:00;8.09.2025 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
ERZURUM TEKNİK ÜNİVERSİTESİ;http://www.erzurum.edu.tr/;True;True;3.04.2025 07:06;2.07.2025 07:06;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ;http://www.ogu.edu.tr;True;True;4.07.2024 00:00;2.08.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ;https://www.eskisehir.edu.tr/;True;True;11.06.2024 11:32;11.06.2025 11:32;True;False;False;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ;www.fsm.edu.tr;True;True;21.03.2025 08:53;22.04.2026 08:53;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
FENERBAHÇE ÜNİVERSİTESİ;www.fbu.edu.tr;True;True;14.11.2024 00:00;14.11.2025 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
FIRAT ÜNİVERSİTESİ;http://www.firat.edu.tr/;True;True;6.12.2024 00:00;5.01.2026 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
GALATASARAY ÜNİVERSİTESİ;http://www.gsu.edu.tr;True;True;17.03.2025 00:00;15.04.2026 23:59;True;False;True;False;False;False;True;True;2;True;False;False;False;True;Kapsam Dışı
GAZİ ÜNİVERSİTESİ;http://gazi.edu.tr/;True;True;8.12.2024 09:51;9.01.2026 09:51;True;True;True;True;True;False;False;False;5;True;False;False;False;True;Kapsam Dışı
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;http://www.gibtu.edu.tr/;True;True;29.05.2024 11:42;30.06.2025 11:42;True;False;True;False;False;False;True;True;2;True;False;False;False;True;Kapsam Dışı
GAZİANTEP ÜNİVERSİTESİ;http://www.gantep.edu.tr;True;True;11.03.2025 00:00;12.03.2026 23:59;True;True;True;False;False;False;True;False;3;True;False;False;True;True;Kapsam Dışı
GEBZE TEKNİK ÜNİVERSİTESİ;www.gtu.edu.tr;True;True;13.05.2025 06:36;13.05.2026 06:36;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
GİRESUN ÜNİVERSİTESİ;http://www.giresun.edu.tr/;True;True;23.12.2024 00:00;22.12.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
GÜMÜŞHANE ÜNİVERSİTESİ;http://www.gumushane.edu.tr;True;True;9.10.2024 00:00;8.10.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;True;True;True;Kapsam Dışı
HACETTEPE ÜNİVERSİTESİ;http://hacettepe.edu.tr;True;True;2.08.2024 00:00;2.09.2025 23:59;True;False;False;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
HAKKARİ ÜNİVERSİTESİ;www.hakkari.edu.tr / www.hu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
HALİÇ ÜNİVERSİTESİ;www.halic.edu.tr;True;True;26.12.2024 12:52;27.01.2026 12:52;True;True;True;True;False;False;False;False;4;True;False;True;False;True;Kapsam Dışı
HARRAN ÜNİVERSİTESİ;http://www.harran.edu.tr/;True;True;6.05.2024 00:00;6.06.2025 23:59;False;False;False;False;False;False;True;True;0;True;False;False;True;True;Kapsam Dışı
HASAN KALYONCU ÜNİVERSİTESİ;www.hku.edu.tr;True;True;17.05.2025 13:12;15.08.2025 13:12;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ;http://www.mku.edu.tr;True;True;28.11.2024 00:00;29.12.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;True;True;True;Kapsam Dışı
HİTİT ÜNİVERSİTESİ;http://www.hitit.edu.tr/;True;True;25.11.2024 00:00;25.11.2025 23:59;True;False;False;False;False;False;True;True;1;True;False;False;False;True;Kapsam Dışı
IĞDIR ÜNİVERSİTESİ;http://www.igdir.edu.tr;True;True;6.04.2025 19:20;5.07.2025 19:20;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ;https://isparta.edu.tr/;True;True;21.01.2025 00:00;1.02.2026 23:59;False;False;True;False;False;False;True;True;1;True;False;False;False;True;Kapsam Dışı
IŞIK ÜNİVERSİTESİ;http://www.isikun.edu.tr/;True;True;4.11.2024 00:00;7.11.2025 23:59;False;False;True;True;False;False;False;True;2;True;False;False;False;True;Kapsam Dışı
İBN HALDUN ÜNİVERSİTESİ;www.ihu.edu.tr;True;True;28.06.2024 07:26;30.07.2025 07:26;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ;http://www.bilkent.edu.tr/;True;True;31.07.2024 00:00;13.08.2025 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
İNÖNÜ ÜNİVERSİTESİ;http://www.inonu.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
İSKENDERUN TEKNİK ÜNİVERSİTESİ;www.iste.edu.tr;True;True;16.01.2025 00:00;8.01.2026 23:59;False;False;True;True;False;False;False;True;2;True;True;False;True;True;Kapsam Dışı
İSTANBUL AREL ÜNİVERSİTESİ;http://www.arel.edu.tr;True;True;21.05.2024 00:00;27.05.2025 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
İSTANBUL ATLAS ÜNİVERSİTESİ;www.atlas.edu.tr;True;True;10.06.2024 00:00;9.07.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
İSTANBUL AYDIN ÜNİVERSİTESİ;http://www.aydin.edu.tr;True;True;13.05.2025 09:43;11.08.2025 10:43;False;False;True;True;True;False;False;True;3;True;False;False;False;True;Kapsam Dışı
İSTANBUL BEYKENT ÜNİVERSİTESİ;www.beykent.edu.tr;True;True;5.01.2025 12:48;5.01.2026 11:49;True;False;True;True;True;False;False;True;4;True;False;False;True;True;Kapsam Dışı
İSTANBUL BİLGİ ÜNİVERSİTESİ;www.bilgi.edu.tr;True;True;26.09.2024 00:00;26.09.2025 23:59;True;True;True;True;True;False;False;False;5;True;True;False;True;True;Kapsam Dışı
İSTANBUL ESENYURT ÜNİVERSİTESİ;http://www.esenyurt.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
İSTANBUL GALATA ÜNİVERSİTESİ;www.galata.edu.tr;True;True;3.03.2025 22:55;1.06.2025 22:55;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
İSTANBUL GEDİK ÜNİVERSİTESİ;www.gedik.edu.tr;True;True;10.05.2025 11:50;8.08.2025 12:49;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
İSTANBUL GELİŞİM ÜNİVERSİTESİ;www.gelisim.edu.tr;True;True;14.01.2025 00:00;25.12.2025 23:59;False;False;True;False;False;False;True;True;1;True;False;False;False;True;Kapsam Dışı
İSTANBUL KENT ÜNİVERSİTESİ;www.kent.edu.tr;True;True;28.06.2024 00:00;27.06.2025 23:59;True;False;False;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
İSTANBUL KÜLTÜR ÜNİVERSİTESİ;www.iku.edu.tr;True;True;8.08.2024 00:00;29.08.2025 23:59;False;False;False;True;False;False;True;True;1;True;False;False;False;True;Kapsam Dışı
İSTANBUL MEDENİYET ÜNİVERSİTESİ;http://www.medeniyet.edu.tr;True;True;18.11.2024 00:00;1.12.2025 23:59;False;False;True;False;False;False;True;True;1;True;False;False;True;True;Kapsam Dışı
İSTANBUL MEDİPOL ÜNİVERSİTESİ;www.medipol.edu.tr;True;True;31.03.2025 10:33;29.06.2025 11:33;False;False;True;True;False;False;False;True;2;True;False;False;False;True;Kapsam Dışı
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ;http://www.nisantasi.edu.tr;True;True;21.04.2025 20:33;20.07.2025 21:31;False;False;True;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
İSTANBUL OKAN ÜNİVERSİTESİ;www.okan.edu.tr;True;True;8.05.2025 07:29;9.06.2026 07:29;False;False;False;False;False;False;True;True;0;True;False;False;True;True;Kapsam Dışı
İSTANBUL RUMELİ ÜNİVERSİTESİ;www.rumeli.edu.tr;True;True;2.05.2025 22:16;31.07.2025 23:16;True;False;True;True;True;False;False;True;4;True;False;False;False;True;Kapsam Dışı
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ;http://www.izu.edu.tr/;True;True;19.12.2024 00:00;18.12.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU;www.issb.edu.tr;True;True;28.03.2025 23:00;27.06.2025 00:00;False;False;True;True;False;False;False;True;2;True;False;False;True;True;Kapsam Dışı
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ;www.istun.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU;www.sisli.edu.tr;True;True;6.02.2025 00:00;6.02.2026 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
İSTANBUL TEKNİK ÜNİVERSİTESİ;http://www.itu.edu.tr;True;True;18.07.2024 00:00;18.08.2025 23:59;True;False;True;True;True;False;False;True;4;True;False;False;False;True;Kapsam Dışı
İSTANBUL TİCARET ÜNİVERSİTESİ;http://www.ticaret.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
İSTANBUL TOPKAPI ÜNİVERSİTESİ;www.topkapi.edu.tr;True;True;3.05.2024 07:02;4.06.2025 07:02;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
İSTANBUL ÜNİVERSİTESİ;http://www.istanbul.edu.tr;True;True;10.05.2024 00:00;10.06.2025 23:59;True;False;False;True;False;False;True;True;2;True;False;False;False;True;Kapsam Dışı
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA;https://iuc.edu.tr;True;True;23.01.2025 12:43;23.01.2026 12:43;False;False;True;True;False;False;False;True;2;True;False;False;False;True;Kapsam Dışı
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ;www.yeniyuzyil.edu.tr;True;True;20.12.2024 00:00;19.01.2026 23:59;True;False;False;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
İSTANBUL 29 MAYIS ÜNİVERSİTESİ;http://www.29mayis.edu.tr;True;True;10.03.2025 00:00;26.03.2026 23:59;True;False;True;False;False;False;True;True;2;True;False;False;False;True;Kapsam Dışı
İSTİNYE ÜNİVERSİTESİ;www.istinye.edu.tr;True;True;8.11.2024 00:00;23.09.2025 23:59;False;False;True;True;False;False;False;True;2;True;True;False;True;True;Kapsam Dışı
İZMİR BAKIRÇAY ÜNİVERSİTESİ;bakircay.edu.tr;True;True;2.09.2024 00:00;3.10.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;True;True;True;Kapsam Dışı
İZMİR DEMOKRASİ ÜNİVERSİTESİ;http://www.idu.edu.tr;True;True;21.10.2024 11:38;21.10.2025 11:38;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
İZMİR EKONOMİ ÜNİVERSİTESİ;www.ieu.edu.tr;True;True;13.03.2025 08:03;3.04.2026 10:10;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ;http://www.ikc.edu.tr/;True;True;5.08.2024 00:00;5.08.2025 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
İZMİR KAVRAM MESLEK YÜKSEKOKULU;www.kavram.edu.tr;True;True;16.01.2025 08:03;17.02.2026 08:03;True;False;True;True;True;False;False;True;4;True;False;True;False;True;Kapsam Dışı
İZMİR TINAZTEPE ÜNİVERSİTESİ;www.tinaztepe.edu.tr;True;True;26.09.2024 00:00;26.09.2025 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ;http://www.iyte.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
KADİR HAS ÜNİVERSİTESİ;http://www.khas.edu.tr;True;True;2.07.2024 00:00;24.07.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
KAFKAS ÜNİVERSİTESİ;http://www.kafkas.edu.tr;True;True;10.06.2024 00:00;9.06.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ;www.istiklal.edu.tr;True;True;25.07.2024 09:02;25.07.2025 09:02;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ;www.ksu.edu.tr;True;True;7.04.2025 00:00;8.05.2026 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
KAPADOKYA ÜNİVERSİTESİ;www.kapadokya.edu.tr;True;True;12.04.2025 06:48;11.07.2025 06:48;False;False;True;False;False;False;True;True;1;True;False;True;False;True;Kapsam Dışı
KARABÜK ÜNİVERSİTESİ;http://www.karabuk.edu.tr/;True;True;6.03.2025 00:00;5.04.2026 23:59;True;False;False;False;False;False;True;True;1;True;False;False;False;True;Kapsam Dışı
KARADENİZ TEKNİK ÜNİVERSİTESİ;http://www.ktu.edu.tr;True;True;6.08.2024 00:00;6.09.2025 23:59;True;True;True;True;True;False;False;False;5;True;True;False;True;True;Kapsam Dışı
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ;http://www.kmu.edu.tr;True;True;20.09.2024 00:00;21.10.2025 23:59;False;False;False;False;False;False;True;True;0;True;False;False;True;True;Kapsam Dışı
