Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);A01 - Broken Access Control;A04 - Insecure Design;A06 - Vulnerable and Outdated Components;A07 - Identification and Authentication Failures;A09 - Security Logging and Monitoring Failures;A10 - Server-Side Request Forgery;CSV Injection;CRLF Injection;Unrestricted File Upload;X-Powered-By Exposure;Iframe Kullanımı;Mixed Content Risk;Deprecated HTML Elements;Referrer Policy Mevcut mu?;Gzip Compression Aktif mi?;robots.txt Var mı?;sitemap.xml Var mı?;Doctype Var mı?;Title Tag Var mı?;Secure/HttpOnly Cookie Flag Eksik?;HSTS Süresi Yetersiz mi?;CORS Açıklığı Var mı?;Yanıt Süresi (ms);Mobil Uyumlu mu?;Başlık Boş mu?;Tüm IMG'lerde Lazy Load Var mı?;Formda Password Input Var mı?;Toplam HTML Tag Sayısı;Tracking Script Var mı?;HTTPS Yönlendirme Var mı?;Sıkı CSP Var mı?;OG Tag Var mı?;Structured Data Var mı?;SSL Sertifikası Geçerli mi?;H1 Etiket Sayısı;Inline Script Kullanımı;Meta Robots İçeriği;Başlık Uzunluğu (karakter);Tüm IMG'lerde loading/width/height var mı?;Toplam Skor
ALANYA ÜNİVERSİTESİ;"http://www.alanyauniversity.edu
.tr";0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
ALTINBAŞ ÜNİVERSİTESİ;http://www.altinbas.edu.tr/tr;1;1;14.01.2025 00:00;14.02.2026 23:59;1;1;1;1;0;0;0;0;4;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;0;1;1;1;1;1;374;1;0;1;0;1111;1;1;0;1;1;1;15;1;;21;0;27
AMASYA ÜNİVERSİTESİ;http://www.amasya.edu.tr;1;1;26.08.2024 00:00;26.09.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;539;1;0;1;0;1192;0;0;0;0;0;1;0;1;;24;0;18
ANADOLU ÜNİVERSİTESİ;http://www.anadolu.edu.tr/;1;1;8.05.2025 15:23;9.06.2026 15:23;1;0;1;1;1;0;0;1;4;1;1;1;1;1;Kapsam Dışı;0;0;0;0;1;1;0;1;1;1;0;1;1;0;1;0;593;0;0;1;0;997;0;1;0;0;0;1;0;1;follow, index;20;0;24
ANKA TEKNOLOJİ ÜNİVERSİTESİ;-;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;8
ANKARA BİLİM ÜNİVERSİTESİ;www.ankarabilim.edu.tr;1;1;12.12.2024 00:00;11.01.2026 23:59;0;0;0;0;0;0;1;1;0;1;1;1;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;437;1;0;1;0;807;0;1;0;1;0;1;0;1;index, follow, noodp;25;0;23
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ;https://hacibayram.edu.tr;1;1;29.07.2024 09:37;30.08.2025 09:37;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;0;511;1;0;0;0;47;1;1;0;0;0;1;0;1;index, follow;36;0;20
ANKARA MEDİPOL ÜNİVERSİTESİ;www.ankaramedipol.edu.tr;1;1;23.03.2025 13:32;21.06.2025 14:31;0;0;1;1;1;0;0;1;3;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1035;1;0;1;0;2147;0;1;0;1;1;1;3;1;index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1;27;0;25
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ;http://www.mgu.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ;http://www.asbu.edu.tr/;1;1;31.01.2025 00:00;4.02.2026 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;1;0;0;;0;0;9
ANKARA ÜNİVERSİTESİ;http://www.ankara.edu.tr;1;1;29.04.2025 00:00;14.05.2026 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;0;523;0;0;0;0;50;0;1;0;1;0;1;0;0;max-image-preview:large;19;0;18
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ;www.aybu.edu.tr;1;1;8.10.2024 00:00;8.11.2025 23:59;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;1131;1;0;1;0;2987;0;1;0;0;0;1;19;1;;36;0;22
ANTALYA BELEK ÜNİVERSİTESİ;www.belek.edu.tr;1;1;17.02.2025 05:59;17.02.2026 05:59;1;0;0;0;0;0;1;1;1;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;0;0;1;1;1;1;0;778;1;0;1;0;755;0;1;0;0;0;1;3;1;;26;0;19
ANTALYA BİLİM ÜNİVERSİTESİ;http://www.antalya.edu.tr/;1;1;7.06.2024 00:00;6.06.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;1;0;1;0;1;0;372;1;0;1;0;1206;0;1;0;0;0;0;0;1;;38;0;19
ARDAHAN ÜNİVERSİTESİ;http://www.ardahan.edu.tr;1;1;19.03.2025 00:00;19.04.2026 23:59;0;0;0;0;0;0;1;1;0;1;0;1;1;1;Kapsam Dışı;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;4990;0;0;1;0;1388;0;1;0;0;0;1;0;1;;20;0;23
ARTVİN ÇORUH ÜNİVERSİTESİ;http://www.artvin.edu.tr;1;1;6.05.2025 20:39;4.08.2025 21:35;1;0;1;1;1;0;0;1;4;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1324;1;0;1;0;847;0;1;0;1;0;1;0;1;index, follow, noodp, noydir;25;0;26
