Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);A01 - Broken Access Control;A04 - Insecure Design;A06 - Vulnerable and Outdated Components;A07 - Identification and Authentication Failures;A09 - Security Logging and Monitoring Failures;A10 - Server-Side Request Forgery;CSV Injection;CRLF Injection;Unrestricted File Upload;X-Powered-By Exposure;Iframe Kullanımı;Mixed Content Risk;Deprecated HTML Elements;Referrer Policy Mevcut mu?;Gzip Compression Aktif mi?;robots.txt Var mı?;sitemap.xml Var mı?;Doctype Var mı?;Title Tag Var mı?;Secure/HttpOnly Cookie Flag Eksik?;HSTS Süresi Yetersiz mi?;CORS Açıklığı Var mı?;Yanıt Süresi (ms);Mobil Uyumlu mu?;Başlık Boş mu?;Tüm IMG'lerde Lazy Load Var mı?;Formda Password Input Var mı?;Toplam HTML Tag Sayısı;Tracking Script Var mı?;HTTPS Yönlendirme Var mı?;Sıkı CSP Var mı?;OG Tag Var mı?;Structured Data Var mı?;SSL Sertifikası Geçerli mi?;H1 Etiket Sayısı;Inline Script Kullanımı;Meta Robots İçeriği;Başlık Uzunluğu (karakter);Tüm IMG'lerde loading/width/height var mı?;Toplam Skor
GAZİ ÜNİVERSİTESİ;http://gazi.edu.tr/;1;1;8.12.2024 09:51;9.01.2026 09:51;1;1;1;1;1;0;0;0;5;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;560;1;0;1;0;0;0;1;0;1;0;1;1;0;;45;0;24
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;http://www.gibtu.edu.tr/;1;1;29.05.2024 11:42;30.06.2025 11:42;1;0;1;0;0;0;1;1;2;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1740;1;0;1;0;2390;0;1;0;1;0;1;1;1;all;14;0;23
GAZİANTEP ÜNİVERSİTESİ;http://www.gantep.edu.tr;1;1;11.03.2025 00:00;12.03.2026 23:59;1;1;1;0;0;0;1;0;3;1;0;0;1;1;Kapsam Dışı;0;0;0;0;1;1;1;0;1;0;0;1;1;1;1;0;594;0;0;1;0;1129;0;1;0;1;0;1;3;1;index,follow;22;0;22
GEBZE TEKNİK ÜNİVERSİTESİ;www.gtu.edu.tr;1;1;13.05.2025 06:36;13.05.2026 06:36;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;0;747;0;0;1;0;706;0;1;0;0;0;1;0;1;;25;1;19
GİRESUN ÜNİVERSİTESİ;http://www.giresun.edu.tr/;1;1;23.12.2024 00:00;22.12.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;651;1;0;1;0;1321;0;1;0;0;0;1;0;1;;47;0;22
GÜMÜŞHANE ÜNİVERSİTESİ;http://www.gumushane.edu.tr;1;1;9.10.2024 00:00;8.10.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;1;1;1;Kapsam Dışı;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;722;1;0;1;0;1153;0;1;0;1;0;1;0;1;noodp;8;0;25
HACETTEPE ÜNİVERSİTESİ;http://hacettepe.edu.tr;1;1;2.08.2024 00:00;2.09.2025 23:59;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;600;1;0;1;0;700;0;1;0;0;0;1;0;1;;22;0;21
HAKKARİ ÜNİVERSİTESİ;www.hakkari.edu.tr / www.hu.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;8
HALİÇ ÜNİVERSİTESİ;www.halic.edu.tr;1;1;26.12.2024 12:52;27.01.2026 12:52;1;1;1;1;0;0;0;0;4;1;0;1;0;1;Kapsam Dışı;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;460;1;0;1;0;277;0;1;1;0;1;1;0;1;;30;0;26
HARRAN ÜNİVERSİTESİ;http://www.harran.edu.tr/;1;1;6.05.2024 00:00;6.06.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;0;1412;1;0;1;0;1004;0;1;0;0;0;1;0;1;;19;0;20
HASAN KALYONCU ÜNİVERSİTESİ;www.hku.edu.tr;1;1;17.05.2025 13:12;15.08.2025 13:12;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;749;0;0;0;0;8;0;0;0;0;0;1;1;0;;13;0;11
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ;http://www.mku.edu.tr;1;1;28.11.2024 00:00;29.12.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;1;1;1;Kapsam Dışı;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;0;1289;1;0;1;0;1119;0;1;0;0;0;1;1;1;index, follow;32;0;22
HİTİT ÜNİVERSİTESİ;http://www.hitit.edu.tr/;1;1;25.11.2024 00:00;25.11.2025 23:59;1;0;0;0;0;0;1;1;1;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1483;0;0;1;0;1565;0;1;0;0;0;1;0;1;index, follow;23;0;20
IĞDIR ÜNİVERSİTESİ;http://www.igdir.edu.tr;1;1;6.04.2025 19:20;5.07.2025 19:20;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1;0;153;0;0;1;0;1259;0;1;0;1;0;1;5;1;;37;0;21
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ;https://isparta.edu.tr/;1;1;21.01.2025 00:00;1.02.2026 23:59;0;0;1;0;0;0;1;1;1;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;1;0;0;0;1;0;1;1;1;1;0;666;1;0;1;0;585;0;1;0;1;0;1;0;1;;40;0;20
IŞIK ÜNİVERSİTESİ;http://www.isikun.edu.tr/;1;1;4.11.2024 00:00;7.11.2025 23:59;0;0;1;1;0;0;0;1;2;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;597;0;0;1;0;789;0;1;0;1;1;1;0;1;;17;0;21
İBN HALDUN ÜNİVERSİTESİ;www.ihu.edu.tr;1;1;28.06.2024 07:26;30.07.2025 07:26;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;1;0;0;;0;0;10
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ;http://www.bilkent.edu.tr/;1;1;31.07.2024 00:00;13.08.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;1;1;0;0;1;0;1;1;1;1;1;0;922;0;0;1;0;699;0;1;0;0;0;1;0;1;;23;0;19
İNÖNÜ ÜNİVERSİTESİ;http://www.inonu.edu.tr/;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;8
İSKENDERUN TEKNİK ÜNİVERSİTESİ;www.iste.edu.tr;1;1;16.01.2025 00:00;8.01.2026 23:59;0;0;1;1;0;0;0;1;2;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;0;1;1;0;1;0;797;1;0;1;0;814;0;1;0;0;0;1;0;1;;37;0;21
İSTANBUL AREL ÜNİVERSİTESİ;http://www.arel.edu.tr;1;1;21.05.2024 00:00;27.05.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;2382;1;0;1;0;2687;1;1;0;1;1;1;10;1;index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1;38;0;20
İSTANBUL ATLAS ÜNİVERSİTESİ;www.atlas.edu.tr;1;1;10.06.2024 00:00;9.07.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;828;0;0;1;0;1489;0;1;0;1;1;1;1;1;index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1;47;0;22
İSTANBUL AYDIN ÜNİVERSİTESİ;http://www.aydin.edu.tr;1;1;13.05.2025 09:43;11.08.2025 10:43;0;0;1;1;1;0;0;1;3;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;608;0;0;0;0;16;0;1;0;0;0;1;0;1;noindex,nofollow;16;0;18
İSTANBUL BEYKENT ÜNİVERSİTESİ;www.beykent.edu.tr;1;1;5.01.2025 12:48;5.01.2026 11:49;1;0;1;1;1;0;0;1;4;1;0;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;1;1;1;0;1;1;1;1;0;626;0;0;1;0;1052;1;0;0;1;0;1;6;1;;40;0;25
İSTANBUL BİLGİ ÜNİVERSİTESİ;www.bilgi.edu.tr;1;1;26.09.2024 00:00;26.09.2025 23:59;1;1;1;1;1;0;0;0;5;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;1;1;1;0;1;1;1;1;0;424;1;0;1;0;1459;0;1;1;1;0;1;1;1;index,follow;39;0;27
İSTANBUL ESENYURT ÜNİVERSİTESİ;http://www.esenyurt.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
İSTANBUL GALATA ÜNİVERSİTESİ;www.galata.edu.tr;1;1;3.03.2025 22:55;1.06.2025 22:55;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;219;0;0;1;0;2682;1;1;0;0;0;1;1;1;;28;0;18
İSTANBUL GEDİK ÜNİVERSİTESİ;www.gedik.edu.tr;1;1;10.05.2025 11:50;8.08.2025 12:49;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;0;521;1;0;1;0;1285;0;1;0;1;0;1;0;1;max-image-preview:large;32;0;22
İSTANBUL GELİŞİM ÜNİVERSİTESİ;www.gelisim.edu.tr;1;1;14.01.2025 00:00;25.12.2025 23:59;0;0;1;0;0;0;1;1;1;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;3658;1;0;0;0;0;0;1;0;1;0;1;7;1;;44;0;20
İSTANBUL KENT ÜNİVERSİTESİ;www.kent.edu.tr;1;1;28.06.2024 00:00;27.06.2025 23:59;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;1;0;0;0;1;1;0;0;1;1;0;1;1;1;1;0;2609;1;0;1;0;3694;0;1;0;0;0;1;0;1;;26;0;23
İSTANBUL KÜLTÜR ÜNİVERSİTESİ;www.iku.edu.tr;1;1;8.08.2024 00:00;29.08.2025 23:59;0;0;0;1;0;0;1;1;1;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;538;1;0;1;0;997;0;1;0;0;0;1;0;1;;69;0;16
İSTANBUL MEDENİYET ÜNİVERSİTESİ;http://www.medeniyet.edu.tr;1;1;18.11.2024 00:00;1.12.2025 23:59;0;0;1;0;0;0;1;1;1;1;0;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;0;280;0;0;1;0;1496;1;0;0;1;0;1;1;1;;31;0;20
İSTANBUL MEDİPOL ÜNİVERSİTESİ;www.medipol.edu.tr;1;1;31.03.2025 10:33;29.06.2025 11:33;0;0;1;1;0;0;0;1;2;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;593;0;0;1;0;1604;0;1;0;0;0;1;0;1;index, follow;31;0;19
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ;http://www.nisantasi.edu.tr;1;1;21.04.2025 20:33;20.07.2025 21:31;0;0;1;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1200;0;0;1;0;920;0;1;0;1;0;1;1;0;;31;0;24
İSTANBUL OKAN ÜNİVERSİTESİ;www.okan.edu.tr;1;1;8.05.2025 07:29;9.06.2026 07:29;0;0;0;0;0;0;1;1;0;1;0;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;659;0;0;1;0;2680;0;1;0;1;0;1;0;1;index, follow;56;0;20
İSTANBUL RUMELİ ÜNİVERSİTESİ;www.rumeli.edu.tr;1;1;2.05.2025 22:16;31.07.2025 23:16;1;0;1;1;1;0;0;1;4;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;659;0;0;0;0;44;0;1;0;0;0;1;1;1;;17;0;19
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ;http://www.izu.edu.tr/;1;1;19.12.2024 00:00;18.12.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1006;0;0;1;0;1513;1;1;0;0;0;1;0;1;;37;0;23
İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU;www.issb.edu.tr;1;1;28.03.2025 23:00;27.06.2025 00:00;0;0;1;1;0;0;0;1;2;1;0;0;1;1;Kapsam Dışı;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;0;698;0;0;1;0;992;0;1;0;0;0;1;0;1;;64;0;22
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ;www.istun.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU;www.sisli.edu.tr;1;1;6.02.2025 00:00;6.02.2026 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;730;1;0;1;0;1137;0;1;0;0;0;1;0;1;max-image-preview:large;79;0;19
İSTANBUL TEKNİK ÜNİVERSİTESİ;http://www.itu.edu.tr;1;1;18.07.2024 00:00;18.08.2025 23:59;1;0;1;1;1;0;0;1;4;1;0;0;0;1;Kapsam Dışı;0;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;708;1;0;1;0;1025;1;1;0;1;0;1;0;1;index, follow;45;0;24
İSTANBUL TİCARET ÜNİVERSİTESİ;http://www.ticaret.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
İSTANBUL TOPKAPI ÜNİVERSİTESİ;www.topkapi.edu.tr;1;1;3.05.2024 07:02;4.06.2025 07:02;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;826;0;0;1;0;1477;0;1;0;0;0;1;0;1;;29;0;19
İSTANBUL ÜNİVERSİTESİ;http://www.istanbul.edu.tr;1;1;10.05.2024 00:00;10.06.2025 23:59;1;0;0;1;0;0;1;1;2;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;0;34;0;0;0;0;33;0;1;0;1;0;1;0;1;all;62;0;19
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA;https://iuc.edu.tr;1;1;23.01.2025 12:43;23.01.2026 12:43;0;0;1;1;0;0;0;1;2;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;0;693;0;0;0;0;46;0;1;0;1;0;1;0;1;all;32;0;19
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ;www.yeniyuzyil.edu.tr;1;1;20.12.2024 00:00;19.01.2026 23:59;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;668;1;0;1;0;975;0;1;0;1;0;1;0;1;index, follow;49;0;24
İSTANBUL 29 MAYIS ÜNİVERSİTESİ;http://www.29mayis.edu.tr;1;1;10.03.2025 00:00;26.03.2026 23:59;1;0;1;0;0;0;1;1;2;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;1;1;1;0;1;0;88;1;0;1;0;886;0;1;0;1;0;1;10;1;;30;0;21
İSTİNYE ÜNİVERSİTESİ;www.istinye.edu.tr;1;1;8.11.2024 00:00;23.09.2025 23:59;0;0;1;1;0;0;0;1;2;1;1;0;1;1;Kapsam Dışı;0;0;1;0;0;1;0;0;1;1;0;1;1;1;1;0;675;1;0;1;0;1619;1;1;0;1;0;1;0;1;;22;0;24
İZMİR BAKIRÇAY ÜNİVERSİTESİ;bakircay.edu.tr;1;1;2.09.2024 00:00;3.10.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;1;1;1;Kapsam Dışı;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1313;1;0;1;0;785;0;0;0;0;0;1;0;1;all;21;0;24
İZMİR DEMOKRASİ ÜNİVERSİTESİ;http://www.idu.edu.tr;1;1;21.10.2024 11:38;21.10.2025 11:38;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;886;0;0;1;0;798;0;1;0;0;0;1;0;1;;28;0;21
İZMİR EKONOMİ ÜNİVERSİTESİ;www.ieu.edu.tr;1;1;13.03.2025 08:03;3.04.2026 10:10;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;0;606;0;0;1;0;1763;0;1;0;1;0;1;6;1;;40;0;18
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ;http://www.ikc.edu.tr/;1;1;5.08.2024 00:00;5.08.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;1;0;0;1;0;1;0;0;1;1;0;1;1;1;1;0;852;1;0;1;0;1333;0;1;0;1;0;1;0;1;;31;0;21
İZMİR KAVRAM MESLEK YÜKSEKOKULU;www.kavram.edu.tr;1;1;16.01.2025 08:03;17.02.2026 08:03;1;0;1;1;1;0;0;1;4;1;0;1;0;1;Kapsam Dışı;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;637;0;0;1;0;1197;0;1;0;1;0;1;0;1;;42;0;27
İZMİR TINAZTEPE ÜNİVERSİTESİ;www.tinaztepe.edu.tr;1;1;26.09.2024 00:00;26.09.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;1;0;0;0;1;1;1;1;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;14
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ;http://www.iyte.edu.tr/;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
KADİR HAS ÜNİVERSİTESİ;http://www.khas.edu.tr;1;1;2.07.2024 00:00;24.07.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;724;1;0;1;0;1256;0;1;0;1;1;1;9;1;max-image-preview:large, max-snippet:-1, max-video-preview:-1;22;0;23
KAFKAS ÜNİVERSİTESİ;http://www.kafkas.edu.tr;1;1;10.06.2024 00:00;9.06.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;899;1;0;1;0;1493;0;1;0;0;0;1;0;1;;19;0;22
KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ;www.istiklal.edu.tr;1;1;25.07.2024 09:02;25.07.2025 09:02;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;0;0;0;1;1;1;1;0;1;1;0;794;1;1;0;0;35;0;0;0;1;0;1;0;1;index, follow;0;0;18
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ;www.ksu.edu.tr;1;1;7.04.2025 00:00;8.05.2026 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;884;1;0;1;0;1445;0;1;0;0;0;1;0;1;;37;0;19
KAPADOKYA ÜNİVERSİTESİ;www.kapadokya.edu.tr;1;1;12.04.2025 06:48;11.07.2025 06:48;0;0;1;0;0;0;1;1;1;1;0;1;0;1;Kapsam Dışı;0;0;0;1;1;1;0;0;0;1;1;1;1;0;1;0;691;1;0;1;0;972;0;1;0;0;0;1;0;1;;22;0;21
KARABÜK ÜNİVERSİTESİ;http://www.karabuk.edu.tr/;1;1;6.03.2025 00:00;5.04.2026 23:59;1;0;0;0;0;0;1;1;1;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;1;0;1;0;0;1;1;1;1;0;985;1;0;1;0;1465;0;1;0;0;0;1;0;1;;20;0;20
KARADENİZ TEKNİK ÜNİVERSİTESİ;http://www.ktu.edu.tr;1;1;6.08.2024 00:00;6.09.2025 23:59;1;1;1;1;1;0;0;0;5;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;0;590;1;0;1;0;2450;0;1;0;0;0;1;1;1;;40;0;22
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ;http://www.kmu.edu.tr;1;1;20.09.2024 00:00;21.10.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0;1310;1;0;1;0;1242;0;1;0;0;0;1;4;1;;34;0;19
KASTAMONU ÜNİVERSİTESİ;http://www.kastamonu.edu.tr/ind ex.php/tr/;1;1;13.06.2024 00:00;24.05.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;1;1;0;1;0;1;1;1;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;1;0;0;;0;0;16
KAYSERİ ÜNİVERSİTESİ;http://www.kayseri.edu.tr;1;1;18.07.2024 00:00;31.07.2025 23:59;0;0;1;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;746;1;0;1;0;1931;0;0;0;0;0;1;0;1;;20;0;21
KIRIKKALE ÜNİVERSİTESİ;http://kku.edu.tr;1;1;18.09.2024 00:00;18.10.2025 23:59;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;1;0;1;1;1;1;0;1880;1;0;1;0;2350;0;1;0;0;0;1;0;1;;22;0;22
KIRKLARELİ ÜNİVERSİTESİ;http://www.klu.edu.tr/;1;1;4.06.2024 00:00;3.06.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;793;1;0;1;0;1342;0;1;0;0;0;1;0;1;index, follow;34;0;20
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ;www.ahievran.edu.tr;1;1;13.05.2025 00:00;13.06.2026 23:59;1;0;1;1;1;0;0;1;4;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0;2557;1;0;1;0;1051;0;1;0;0;0;1;0;1;;42;0;21
KİLİS 7 ARALIK ÜNİVERSİTESİ;www.kilis.edu.tr;1;1;17.07.2024 13:52;17.07.2025 13:52;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;805;1;0;1;0;1108;0;1;0;0;0;1;0;1;;27;0;19
KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ;www.kocaelisaglik.edu.tr;1;1;24.10.2024 00:00;24.10.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;0;1;1;0;1;1;1;1;0;3224;0;0;1;0;1129;1;1;0;0;0;1;0;1;max-image-preview:large;66;0;22
KOCAELİ ÜNİVERSİTESİ;http://www.kocaeli.edu.tr/;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
KOÇ ÜNİVERSİTESİ;http://www.ku.edu.tr;1;1;16.01.2025 00:00;14.02.2026 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;773;0;0;0;0;13;0;1;0;0;0;1;1;0;;41;0;13
KONYA GIDA VE TARIM ÜNİVERSİTESİ;http://www.gidatarim.edu.tr/;1;1;11.11.2024 00:00;12.12.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;1;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;739;1;0;1;0;455;0;1;0;0;0;1;2;1;index, follow;32;0;21
KONYA TEKNİK ÜNİVERSİTESİ;http://www.ktun.edu.tr/;1;1;11.12.2024 00:00;30.10.2025 23:59;0;0;1;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1543;0;0;1;0;1140;0;1;0;0;0;1;0;1;index, follow;51;0;20
KTO KARATAY ÜNİVERSİTESİ;http://www.karatay.edu.tr;1;1;2.05.2025 14:50;31.07.2025 15:49;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;70;1;0;1;0;887;1;1;0;0;0;1;0;1;;24;0;22
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ;http://dpu.edu.tr;1;1;5.11.2024 00:00;6.12.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;1;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;0;681;0;0;1;0;1688;0;1;0;0;0;1;4;1;;37;0;21
